Kimberly Lowery
withdraw 496
get 250
get 263
make 185
withdraw 310
make 220
withdraw 428
deposit 324
make 118
deposit 180
get 199
get 454
make 147
deposit 179
get 427
withdraw 410
deposit 245
get 172
make 180
withdraw 133
make 114
get 434
get 217
deposit 476
deposit 289
make 206
deposit 473
deposit 98
get 122
withdraw 198
withdraw 324
get 491
make 103
get 329
deposit 309
make 392
deposit 315
deposit 355
make 53
deposit 495
deposit 99
make 270
deposit 399
get 63
get 301
withdraw 377
withdraw 311
make 215
make 158
make 86
get 385
get 380
get 395
deposit 76
get 220
deposit 327
deposit 173
make 290
deposit 136
deposit 419
deposit 141
make 462
make 127
deposit 395
make 251
withdraw 93
withdraw 190
make 118
make 330
make 243
make 278
make 83
deposit 389
withdraw 338
withdraw 381
make 178
make 398
deposit 252
withdraw 148
make 61
get 212
deposit 227
get 439
make 344
get 200
get 63
withdraw 110
make 136
get 467
make 459
withdraw 330
withdraw 435
withdraw 350
withdraw 302
make 255
get 110
withdraw 302
withdraw 353
make 183
make 407
generate
exit
